Reference, Quantity, Value, Footprint, Datasheet, Value1, Value2, digikey
B101 B102 B104 B105 B106 B108 ,6,"TEST_1P","rklib:MountingHole_3.2mm_M3_DIN965_Pad","","-","-","-"
C102 C121 C124 C126 C127 C129 C130 C132 C205 C206 C701 C704 C708 C713 ,14,"CAP_10u0_25V_X5R_0805","rklib:C0805-X7R","","10u0","20% 25V X5R","490-10748-1-ND"
C101 C103 C104 C105 C106 C107 C108 C109 C110 C111 C112 C113 C114 C115 C116 C117 C118 C119 C120 C123 C125 C128 C131 C133 C202 C203 C204 C207 C702 C705 C707 C709 C710 C711 C712 C714 C715 C716 C717 ,39,"CAP_100n_50V_X7R_0805","rklib:C0805-X7R","","100n","5% 50V X7R","399-1170-1-ND"
C122 ,1,"CAP_22u0_10V_X5R_0805","rklib:C0805-X7R","","22u0","20% 10V X5R","490-10511-1-ND"
C201 ,1,"CAP_10n0_50V_X7R_0805","rklib:C0805-X7R","","10n0","10% 50V X7R","311-1136-1-ND"
C208 ,1,"CAP_1n00_50V_X7R_0805","rklib:C0805-X7R","","1n00","10% 50V X7R","399-1147-1-ND"
C209 C210 C211 C212 C213 C214 C215 C216 C217 C218 C219 C220 C221 C222 C223 C224 C225 C226 C227 C228 C229 C230 C231 C232 C233 ,25,"CAP_100n_10V_X7R_0402","Capacitors_SMD:C_0402","","100n","10% 10V X7R","490-6321-1-ND"
C703 ,1,"CAP_5n60_50V_X7R_0805","rklib:C0805-X7R","","5n60","10% 50V X7R","311-1134-1-ND"
C706 ,1,"CAP_150p_50V_C0G_0805","rklib:C0805-X7R","","150p","5% 50V C0G","399-1125-1-ND"
D201 ,1,"DIO_MBR120VLSFT","rklib:SOD123","","MBR120VLSFT","Schottky 20V 1 A ","MBR120VLSFT3GOSCT-ND"
FER701 FER702 ,2,"FER_600R_600MA_0805","rklib:C0805-RES","","600R","@100MHz 600mA","490-1040-1-ND"
IC102 ,1,"IC_CS2100CP","Housings_SSOP:MSOP-10_3x3mm_Pitch0.5mm","","CS2100CP","Fractional-N Clock Multiplier","598-1750-ND"
IC103 ,1,"IC_LCMXO2-1200HC-6TG144C","Housings_QFP:TQFP-144_20x20mm_Pitch0.5mm","","LCMXO2-1200HC-6TG144C","FPGA","220-2040-ND"
IC104 ,1,"IC_TLV62565","TO_SOT_Packages_SMD:SOT-23-5","","TLV62565","1.5A","296-43657-1-ND"
IC105 ,1,"IC_ADM811TARTZ","TO_SOT_Packages_SMD:SOT-143","","ADM811TARTZ","Spannungsmonitor","ADM811TARTZ-REELCT-ND"
IC106 ,1,"IC_LM1117MP-5.0","rklib:SOT223","","LM1117MP-5.0","LDO","LM1117MP-5.0/NOPBCT-ND"
